disease,year,month,date,time,count,log_count,covid,post,fitted,fitted_count,counterfactual,counterfactual_count
Meningococcal disease (invasive),2023,7,2023-07-01,103,19,2.995732273553991,1,1,2.673288608120009,13.48753476213354,3.4562366925998194,30.697464472823313
Meningococcal disease (invasive),2023,8,2023-08-01,104,10,2.3978952727983707,1,1,2.684942178093739,13.65735383961998,3.4690511174048235,31.106262912217552
Meningococcal disease (invasive),2023,9,2023-09-01,105,9,2.302585092994046,1,1,2.660123870530831,13.298060097282171,3.44539366467319,30.35562461908654
Meningococcal disease (invasive),2023,10,2023-10-01,106,10,2.3978952727983707,1,1,2.6029489820950733,12.50350095865812,3.389379631068707,28.647554142666557
Meningococcal disease (invasive),2023,11,2023-11-01,107,13,2.6390573296152584,1,1,2.5007562219557578,11.191710114402126,3.2883477257606657,25.798548504243442
Meningococcal disease (invasive),2023,12,2023-12-01,108,13,2.6390573296152584,1,1,2.3559788523651233,9.548449184267763,3.1447312110013055,22.21343511867078
Meningococcal disease (invasive),2024,1,2024-01-01,109,8,2.1972245773362196,1,1,2.2109392052121173,8.124281943163849,3.000852418679573,19.102665509376493
Meningococcal disease (invasive),2024,2,2024-02-01,110,3,1.3862943611198906,1,1,2.133476396655924,7.444171133494359,2.9245504649546548,17.62585119478316
Meningococcal disease (invasive),2024,3,2024-03-01,111,10,2.3978952727983707,1,1,2.1702903328116543,7.760827227139014,2.962525255941659,18.346765655954268
Meningococcal disease (invasive),2024,4,2024-04-01,112,11,2.4849066497880004,1,1,2.308982000410968,9.064174113263933,3.102377778372247,21.250795891394283
Meningococcal disease (invasive),2024,5,2024-05-01,113,5,1.791759469228055,1,1,2.4844078231092928,10.994015572575629,3.2789644559018463,25.548266559669326
Meningococcal disease (invasive),2024,6,2024-06-01,114,15,2.772588722239781,1,1,2.624613388083652,12.7992382047301,3.4203308757074797,29.57953137140754
Meningococcal disease (invasive),2024,7,2024-07-01,115,12,2.5649493574615367,1,1,2.6955600800496486,13.813813351568822,3.4924384225047507,31.865991249285777
Meningococcal disease (invasive),2024,8,2024-08-01,116,22,3.1354942159291497,1,1,2.7072136500233785,13.987456980987057,3.505252847309755,32.289860039906934
Meningococcal disease (invasive),2024,9,2024-09-01,117,17,2.8903717578961645,1,1,2.6823953424604707,13.62007146476448,3.4815953945781213,31.511549472051442
Meningococcal disease (invasive),2024,10,2024-10-01,118,9,2.302585092994046,1,1,2.6252204540247135,12.807617795481516,3.4255813609736383,29.74051099106147
Meningococcal disease (invasive),2024,11,2024-11-01,119,12,2.5649493574615367,1,1,2.5230276938853975,11.466283673274827,3.324549455665597,26.786476782367558
Meningococcal disease (invasive),2024,12,2024-12-01,120,12,2.5649493574615367,1,1,2.3782503242947635,9.78601431712725,3.180932940906237,23.06919822026201
Salmonellosis,2015,1,2015-01-01,1,2511,7.828834527588089,0,0,7.554501009989595,1908.317275940406,7.554501009989595,1908.317275940406
Salmonellosis,2015,2,2015-02-01,2,1969,7.585788821732034,0,0,7.632352769050827,2062.900192428751,7.632352769050827,2062.900192428751
Salmonellosis,2015,3,2015-03-01,3,1850,7.523481312573497,0,0,7.589700744165878,1976.7215804595533,7.589700744165878,1976.7215804595533
Salmonellosis,2015,4,2015-04-01,4,1609,7.383989457978509,0,0,7.432013694439015,1688.2056949433895,7.432013694439015,1688.2056949433895
Salmonellosis,2015,5,2015-05-01,5,1506,7.317876198626496,0,0,7.210827160613551,1353.0117895206881,7.210827160613551,1353.0117895206881
Salmonellosis,2015,6,2015-06-01,6,911,6.815639990074331,0,0,6.999877058424423,1095.4983449073948,6.999877058424423,1095.4983449073948
Salmonellosis,2015,7,2015-07-01,7,1066,6.9726062513017535,0,0,6.86009895989249,952.4614172620306,6.86009895989249,952.4614172620306
Salmonellosis,2015,8,2015-08-01,8,704,6.558197802812269,0,0,6.818114716503595,913.2597454761404,6.818114716503595,913.2597454761404
Salmonellosis,2015,9,2015-09-01,9,787,6.669498089857879,0,0,6.86915665572567,961.1368109950619,6.86915665572567,961.1368109950619
Salmonellosis,2015,10,2015-10-01,10,1273,7.149916836132109,0,0,6.993588314644833,1088.6243847032024,6.993588314644833,1088.6243847032024
Salmonellosis,2015,11,2015-11-01,11,1097,7.001245622069476,0,0,7.167351753852982,1295.4068483620467,7.167351753852982,1295.4068483620467
Salmonellosis,2015,12,2015-12-01,12,1291,7.163946684342547,0,0,7.358356362760006,1568.2551558772107,7.358356362760006,1568.2551558772107
Salmonellosis,2016,1,2016-01-01,13,2429,7.795646536334594,0,0,7.51983427315466,1843.2616250641045,7.51983427315466,1843.2616250641045
Salmonellosis,2016,2,2016-02-01,14,2152,7.674617497364363,0,0,7.597686032215892,1992.5774796695289,7.597686032215892,1992.5774796695289
Salmonellosis,2016,3,2016-03-01,15,1784,7.487173694213739,0,0,7.555034007330943,1909.3352082257745,7.555034007330943,1909.3352082257745
Salmonellosis,2016,4,2016-04-01,16,2068,7.634820677745543,0,0,7.39734695760408,1630.6498464035642,7.39734695760408,1630.6498464035642
Salmonellosis,2016,5,2016-05-01,17,1391,7.238496840894365,0,0,7.176160423778616,1306.8769122158835,7.176160423778616,1306.8769122158835
Salmonellosis,2016,6,2016-06-01,18,1092,6.996681488176539,0,0,6.965210321589488,1058.137653517011,6.965210321589488,1058.137653517011
Salmonellosis,2016,7,2016-07-01,19,1410,7.252053951852814,0,0,6.825432223057555,919.9743844010978,6.825432223057555,919.9743844010978
Salmonellosis,2016,8,2016-08-01,20,893,6.795705775173514,0,0,6.78344797966866,882.1084205698818,6.78344797966866,882.1084205698818
Salmonellosis,2016,9,2016-09-01,21,1016,6.92461239604856,0,0,6.834489918890735,928.3541837910503,6.834489918890735,928.3541837910503
Salmonellosis,2016,10,2016-10-01,22,943,6.8501261661455,0,0,6.958921577809898,1051.4979078987421,6.958921577809898,1051.4979078987421
Salmonellosis,2016,11,2016-11-01,23,1105,7.00850518208228,0,0,7.132685017018046,1251.2347286292745,7.132685017018046,1251.2347286292745
