disease,year,state,rate_per_100k
Cryptosporidiosis,2006,ACT,24
Cryptosporidiosis,2006,NSW,12
Cryptosporidiosis,2006,NT,34
Cryptosporidiosis,2006,QLD,17
Cryptosporidiosis,2006,SA,13
Cryptosporidiosis,2006,TAS,6
Cryptosporidiosis,2006,VIC,22
Cryptosporidiosis,2006,WA,12
Cryptosporidiosis,2006,AUS,16
Cryptosporidiosis,2005,ACT,8
Cryptosporidiosis,2005,NSW,13
Cryptosporidiosis,2005,NT,40
Cryptosporidiosis,2005,QLD,35
Cryptosporidiosis,2005,SA,11
Cryptosporidiosis,2005,TAS,5
Cryptosporidiosis,2005,VIC,10
Cryptosporidiosis,2005,WA,8
Cryptosporidiosis,2005,AUS,16
Cryptosporidiosis,2004,ACT,2
Cryptosporidiosis,2004,NSW,5
Cryptosporidiosis,2004,NT,55
Cryptosporidiosis,2004,QLD,18
Cryptosporidiosis,2004,SA,5
Cryptosporidiosis,2004,TAS,4
Cryptosporidiosis,2004,VIC,6
Cryptosporidiosis,2004,WA,7
Cryptosporidiosis,2004,AUS,8
Cryptosporidiosis,2003,ACT,2
Cryptosporidiosis,2003,NSW,3
Cryptosporidiosis,2003,NT,48
Cryptosporidiosis,2003,QLD,4
Cryptosporidiosis,2003,SA,5
Cryptosporidiosis,2003,TAS,5
Cryptosporidiosis,2003,VIC,4
Cryptosporidiosis,2003,WA,18
Cryptosporidiosis,2003,AUS,6
Cryptosporidiosis,2002,ACT,11
Cryptosporidiosis,2002,NSW,5
Cryptosporidiosis,2002,NT,107
Cryptosporidiosis,2002,QLD,55
Cryptosporidiosis,2002,SA,8
Cryptosporidiosis,2002,TAS,10
Cryptosporidiosis,2002,VIC,6
Cryptosporidiosis,2002,WA,17
Cryptosporidiosis,2002,AUS,17
Cryptosporidiosis,2001,ACT,3
Cryptosporidiosis,2001,NSW,3
Cryptosporidiosis,2001,NT,128
Cryptosporidiosis,2001,QLD,12
Cryptosporidiosis,2001,SA,4
Cryptosporidiosis,2001,TAS,16
Cryptosporidiosis,2001,VIC,9
Cryptosporidiosis,2001,WA,6
Cryptosporidiosis,2001,AUS,8
Cryptosporidiosis,2000,ACT,0
Cryptosporidiosis,2000,NSW,0
Cryptosporidiosis,2000,NT,0
Cryptosporidiosis,2000,QLD,0
Cryptosporidiosis,2000,SA,0
Cryptosporidiosis,2000,TAS,0
Cryptosporidiosis,2000,VIC,0
Cryptosporidiosis,2000,WA,0
Cryptosporidiosis,2000,AUS,NA
Cryptosporidiosis,1999,ACT,0
Cryptosporidiosis,1999,NSW,0
Cryptosporidiosis,1999,NT,0
Cryptosporidiosis,1999,QLD,0
Cryptosporidiosis,1999,SA,0
