disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Salmonellosis,2015,2,2015-02-01,2,1969,7.585788821732034,7.628241639198185,2054.4326482477163
Salmonellosis,2015,3,2015-03-01,3,1850,7.523481312573497,7.609792190052356,2016.8587230276203
Salmonellosis,2015,4,2015-04-01,4,1609,7.383989457978509,7.438064768322946,1698.4581914321898
Salmonellosis,2015,5,2015-05-01,5,1506,7.317876198626496,7.234828625299916,1385.9031976925107
Salmonellosis,2015,6,2015-06-01,6,911,6.815639990074331,7.034222817004705,1133.8126123167333
Salmonellosis,2015,7,2015-07-01,7,1066,6.9726062513017535,6.913439289784694,1004.7001954419839
Salmonellosis,2015,8,2015-08-01,8,704,6.558197802812269,6.835860171969702,929.6285070961688
Salmonellosis,2015,9,2015-09-01,9,787,6.669498089857879,6.89480263850363,986.1308839595903
Salmonellosis,2015,10,2015-10-01,10,1273,7.149916836132109,7.067895407848116,1172.6753252615026
Salmonellosis,2015,11,2015-11-01,11,1097,7.001245622069476,7.26340680990957,1426.110157853133
Salmonellosis,2015,12,2015-12-01,12,1291,7.163946684342547,7.470189337742125,1753.9389302955522
